1 2 3
1.331905 -0.399003 9.792926
1.332802 -0.398106 9.789038
1.332204 -0.396311 9.791131
1.332802 -0.399601 9.787243
1.333699 -0.397209 9.789636
1.331307 -0.397209 9.786345
1.330409 -0.399003 9.789636
1.329512 -0.398704 9.78814
1.331905 -0.395713 9.789038
1.332204 -0.398106 9.791131
1.331008 -0.396311 9.78814
1.332802 -0.396311 9.786645
1.331905 -0.399003 9.789038
1.331008 -0.398106 9.79143
1.330409 -0.397209 9.789636
1.333699 -0.397508 9.792626
1.333699 -0.396311 9.790234
1.332802 -0.397209 9.789636
1.334298 -0.396311 9.790234
1.331905 -0.396311 9.788738
1.330409 -0.395115 9.792626
1.328914 -0.395713 9.786645
1.331008 -0.393918 9.785748
1.3334 -0.398106 9.789038
1.330409 -0.3999 9.788738
1.332802 -0.397508 9.78814
1.334298 -0.39661 9.789636
1.330409 -0.395713 9.792626
1.332802 -0.397209 9.790234
1.335793 -0.399601 9.787841
1.334597 -0.395115 9.789038
1.332802 -0.392722 9.792028
1.328615 -0.397209 9.791131
1.333699 -0.396311 9.788738
1.334597 -0.397209 9.789636
1.330409 -0.399003 9.792926
1.328615 -0.394816 9.790234
1.321436 -0.39661 9.78814
1.322334 -0.390927 9.792926
1.328017 -0.394218 9.791131
1.320838 -0.394816 9.79143
1.328615 -0.391526 9.789636
1.329811 -0.391825 9.790533
1.329512 -0.3999 9.790234
1.331008 -0.398106 9.794421
1.327119 -0.397209 9.788738
1.326521 -0.399601 9.79143
1.325026 -0.397209 9.792028
1.325624 -0.394218 9.791131
1.325624 -0.397508 9.79143
1.325026 -0.397209 9.792626
1.326521 -0.39661 9.789038
1.328017 -0.39661 9.791131
1.325026 -0.397209 9.790234
1.328615 -0.397508 9.793823
1.329512 -0.397508 9.792028
1.327119 -0.398704 9.78814
1.324128 -0.39661 9.794421
1.329811 -0.398704 9.793524
1.328017 -0.395115 9.790533
1.324726 -0.395115 9.787841
1.330409 -0.398704 9.79143
1.326521 -0.39661 9.789038
1.325624 -0.395115 9.792028
1.328017 -0.395713 9.789636
1.329811 -0.397508 9.790533
1.327418 -0.397209 9.791131
1.327119 -0.399601 9.792028
1.325624 -0.395713 9.786645
1.327418 -0.39661 9.79143
1.326521 -0.397508 9.789038
1.329512 -0.398704 9.790533
1.328017 -0.402293 9.783355
1.332204 -0.398106 9.792926
1.328615 -0.39332 9.793823
1.330409 -0.399003 9.792626
1.325026 -0.39661 9.787243
1.321735 -0.404387 9.786645
1.344766 -0.410967 9.78156
1.363909 -0.445065 9.792626
0.987039 -0.51356 9.852448
-0.980758 -0.16002 9.81506
-4.958826 -0.236291 8.321939
-9.41815 -0.380459 2.560918
-8.755338 0.477069 -2.515156
-1.728814 -1.201197 -9.703195
-0.541376 -1.0334 -10.143475
-0.541376 -1.0334 -10.143475
-0.64008 -0.908375 -9.84467
-0.637687 -0.896112 -9.840184
-0.629013 -0.888335 -9.850952
-0.637388 -0.884447 -9.848558
-0.631705 -0.875773 -9.84497
-0.636491 -0.891326 -9.850653
-0.626022 -0.884447 -9.844372
-0.645464 -0.886242 -9.839586
-0.637687 -0.884447 -9.839586
-0.642772 -0.881157 -9.852148
-0.642473 -0.889233 -9.83809
-0.639482 -0.885344 -9.853345
-0.641276 -0.897009 -9.839586
-0.645763 -0.885943 -9.843175
-0.645763 -0.882353 -9.840184
-0.642772 -0.888635 -9.844072
-0.646062 -0.887139 -9.844072
-0.646959 -0.89013 -9.842875
-0.642772 -0.887737 -9.847363
-0.641276 -0.891027 -9.832407
-0.647857 -0.890728 -9.848558
-0.651446 -0.894317 -9.843773
-0.646062 -0.905683 -9.843474
-0.63679 -0.908076 -9.839287
-0.639183 -0.915554 -9.843773
-0.6335 -0.922433 -9.841979
-0.641276 -0.925723 -9.84497
-0.641276 -0.902692 -9.838987
-0.638285 -0.894916 -9.837791
-0.652044 -0.907179 -9.856635
-0.635294 -0.903291 -9.829716
-0.647259 -0.9003 -9.834501
-0.638585 -0.911067 -9.853345
-0.646062 -0.906282 -9.837193
-0.644866 -0.905683 -9.84138
-0.655633 -0.9003 -9.838987
-0.650549 -0.912264 -9.835399
-0.654437 -0.905384 -9.844372
-0.654437 -0.912264 -9.838987
-0.652044 -0.905683 -9.838389
-0.65354 -0.908674 -9.839586
-0.655932 -0.908674 -9.84138
-0.655633 -0.908076 -9.840184
-0.654437 -0.908974 -9.838987
-0.655633 -0.911965 -9.836595
-0.656531 -0.907478 -9.837492
-0.654736 -0.907777 -9.836894
-0.65683 -0.910768 -9.840184
-0.655035 -0.906282 -9.839287
-0.655633 -0.909871 -9.835997
-0.65683 -0.908974 -9.837492
-0.655633 -0.904786 -9.840184
-0.65683 -0.907478 -9.838987
-0.655932 -0.908974 -9.835099
-0.655334 -0.908674 -9.839586
-0.654138 -0.91017 -9.839885
-0.655932 -0.908375 -9.837492
-0.658026 -0.91346 -9.837791
-0.655035 -0.909572 -9.8348
-0.658026 -0.911067 -9.838389
-0.659821 -0.908974 -9.835997
-0.659522 -0.909572 -9.835399
-0.655633 -0.908974 -9.8348
-0.655633 -0.909273 -9.836595
-0.656531 -0.910768 -9.838987
-0.655035 -0.912563 -9.839885
-0.655932 -0.90688 -9.837193
-0.657129 -0.909572 -9.841082
-0.655633 -0.905982 -9.835997
-0.652044 -0.912264 -9.840184
-0.657129 -0.90688 -9.838389
-0.657428 -0.90688 -9.837492
-0.659522 -0.907478 -9.836595
-0.655035 -0.907179 -9.84138
-0.656232 -0.90688 -9.836595
-0.655932 -0.909871 -9.838389
-0.65683 -0.908076 -9.835399
-0.655932 -0.907478 -9.837791
-0.662214 -0.914656 -9.83151
-0.656232 -0.911665 -9.849157
-0.664008 -0.905085 -9.831809
-0.660419 -0.911067 -9.845269
-0.657129 -0.909871 -9.832108
-0.660718 -0.91346 -9.839586
-0.659223 -0.912264 -9.837193
-0.658026 -0.908674 -9.835997
-0.661615 -0.907179 -9.83809
-0.659223 -0.913759 -9.838689
-0.659223 -0.913161 -9.840184
-0.66341 -0.912264 -9.835399
-0.658624 -0.912264 -9.835399
-0.657727 -0.911366 -9.834501
-0.659223 -0.911366 -9.836296
-0.66012 -0.910768 -9.833604
-0.660718 -0.91346 -9.835399
-0.662812 -0.909871 -9.835997
-0.661316 -0.907777 -9.835997
-0.658624 -0.91017 -9.836894
-0.660419 -0.90688 -9.836595
-0.658026 -0.910469 -9.838987
-0.661316 -0.911965 -9.836296
-0.655932 -0.91017 -9.835099
-0.658924 -0.911366 -9.833006
-0.661316 -0.91017 -9.838389
-0.658325 -0.908076 -9.837193
-0.662513 -0.909273 -9.837193
-0.659821 -0.908674 -9.837193
-0.658026 -0.910469 -9.835399
-0.659821 -0.909273 -9.837791
-0.660419 -0.91346 -9.834501
-0.659522 -0.910469 -9.835399
-0.659522 -0.910469 -9.837791
-0.658924 -0.912264 -9.835099
-0.654437 -0.914058 -9.84138
-0.664008 -0.902094 -9.833903
-0.656531 -0.916152 -9.839885
-0.662812 -0.910469 -9.832407
-0.660718 -0.911965 -9.8348
-0.658924 -0.907478 -9.835399
-0.660419 -0.908375 -9.838987
-0.659223 -0.91346 -9.833903
-0.661915 -0.905982 -9.842278
-0.657129 -0.917348 -9.836595
-0.66341 -0.908375 -9.832108
-0.663111 -0.906581 -9.839586
-0.656232 -0.912563 -9.833006
-0.660718 -0.907478 -9.842278
-0.657428 -0.911366 -9.83809
-0.659223 -0.908674 -9.839586
-0.649651 -0.905384 -9.836595
-0.65025 -0.901496 -9.84168
-0.649651 -0.894317 -9.834202
-0.64666 -0.899701 -9.84138
-0.617946 -0.879661 -9.848558
-0.677169 -0.872483 -9.805189
-0.652044 -0.910469 -9.838987
-0.641276 -0.904786 -9.860822
-0.652642 -0.888335 -9.830014
-0.647259 -0.890728 -9.833604
-0.651147 -0.896411 -9.838689
-0.647558 -0.889532 -9.83809
-0.652343 -0.901496 -9.845867
-0.648455 -0.896411 -9.834501
-0.650848 -0.894317 -9.840483
-0.64666 -0.890728 -9.83809
-0.64995 -0.890429 -9.834501
-0.648455 -0.895215 -9.837492
-0.653241 -0.888635 -9.836296
-0.643071 -0.889831 -9.842577
-0.65025 -0.888335 -9.838389
-0.644866 -0.888335 -9.837791
-0.648455 -0.890728 -9.837193
-0.649053 -0.892822 -9.838987
-0.648156 -0.889831 -9.836595
-0.64995 -0.893719 -9.850055
-0.64995 -0.890429 -9.853045
-0.647558 -0.892224 -9.845867
-0.650848 -0.891925 -9.84826
-0.64995 -0.895514 -9.84826
-0.650848 -0.897009 -9.849755
-0.648455 -0.893121 -9.850653
-0.648156 -0.891326 -9.850653
-0.650549 -0.892224 -9.850653
-0.649053 -0.890728 -9.854541
-0.650848 -0.893121 -9.85155
-0.652343 -0.892224 -9.85155
-0.647259 -0.891925 -9.850055
-0.64666 -0.891925 -9.85484
-0.648156 -0.891326 -9.850653
-0.650549 -0.890728 -9.850653
-0.647259 -0.890429 -9.854541
-0.646062 -0.890728 -9.852148
-0.645763 -0.893121 -9.853345
-0.649053 -0.890429 -9.852148
-0.648156 -0.893121 -9.850952
-0.649651 -0.891326 -9.85155
-0.647259 -0.890728 -9.853345
-0.64666 -0.891925 -9.854541
-0.64995 -0.892822 -9.852448
-0.648156 -0.893719 -9.856336
-0.647558 -0.891326 -9.853045
-0.649651 -0.894317 -9.853943
-0.647259 -0.893121 -9.854541
-0.647259 -0.890728 -9.852148
-0.646062 -0.892224 -9.853345
-0.648455 -0.889532 -9.855438
-0.648455 -0.891326 -9.854541
-0.64666 -0.893121 -9.855438
-0.647558 -0.894317 -9.852448
-0.647558 -0.892224 -9.853045
-0.64666 -0.894617 -9.85484
-0.647558 -0.891925 -9.853943
-0.647558 -0.891925 -9.854541
-0.647259 -0.889831 -9.855438
-0.648455 -0.892224 -9.853045
-0.646062 -0.893121 -9.85155
-0.648156 -0.892224 -9.855738
-0.649053 -0.891925 -9.854541
-0.645165 -0.892822 -9.852448
-0.64666 -0.890728 -9.856336
-0.64666 -0.889831 -9.853943
-0.647558 -0.893719 -9.850653
-0.648156 -0.891925 -9.852448
-0.64666 -0.894617 -9.853943
-0.648455 -0.894317 -9.854541
-0.645763 -0.891925 -9.852448
-0.648156 -0.891925 -9.854541
-0.645763 -0.890728 -9.855438
-0.64666 -0.891326 -9.850653
-0.645165 -0.894317 -9.856336
-0.647259 -0.892822 -9.853345
-0.645763 -0.892822 -9.853345
-0.648455 -0.893121 -9.85484
-0.649651 -0.892224 -9.853345
-0.650848 -0.891925 -9.854541
-0.64666 -0.893719 -9.85155
-0.647558 -0.894317 -9.853943
-0.645763 -0.895514 -9.853943
-0.646062 -0.893719 -9.855438
-0.647259 -0.892224 -9.852448
-0.64995 -0.888335 -9.850952
-0.649651 -0.894617 -9.852148
-0.644866 -0.892224 -9.853345
-0.648455 -0.893121 -9.855438
-0.648455 -0.891925 -9.855438
-0.648455 -0.894617 -9.857233
-0.649053 -0.891925 -9.856336
-0.642473 -0.895215 -9.856336
-0.643669 -0.891326 -9.857233
-0.646062 -0.893121 -9.85484
-0.648156 -0.894617 -9.854541
-0.652044 -0.897009 -9.856934
-0.653839 -0.9003 -9.852448
-0.645165 -0.903291 -9.854541
-0.657727 -0.909572 -9.853045
-0.64995 -0.894317 -9.852448
-0.649053 -0.899103 -9.861719
-0.651446 -0.918545 -9.850952
-0.662513 -0.898505 -9.813564
-0.633201 -0.898505 -9.890733
-0.661017 -0.916152 -9.863514
-0.650848 -0.889532 -9.868897
-0.643669 -0.900898 -9.83151
-0.652941 -0.902692 -9.85155
-0.649053 -0.905683 -9.856336
-0.652941 -0.908674 -9.855438
-0.657727 -0.907179 -9.848558
-0.644866 -0.908974 -9.857233
-0.659223 -0.897608 -9.845269
-0.652343 -0.901795 -9.854541
-0.64666 -0.898505 -9.854541
-0.652343 -0.902692 -9.852148
-0.64995 -0.9003 -9.852148
-0.649651 -0.897608 -9.852448
-0.648156 -0.901496 -9.85484
-0.650549 -0.898505 -9.850952
-0.64995 -0.899402 -9.850952
-0.64995 -0.895514 -9.852148
-0.64995 -0.898505 -9.852448
-0.650848 -0.899402 -9.850653
-0.652941 -0.897608 -9.85155
-0.650848 -0.897009 -9.852448
-0.64995 -0.900898 -9.850055
-0.649053 -0.899402 -9.85155
-0.649053 -0.897907 -9.852448
-0.64995 -0.897608 -9.852448
-0.649053 -0.895514 -9.85155
-0.647558 -0.897009 -9.855438
-0.64995 -0.898505 -9.852148
-0.650848 -0.900898 -9.852148
-0.648455 -0.900898 -9.852448
-0.648455 -0.902692 -9.849755
-0.651446 -0.901496 -9.853045
-0.653241 -0.901496 -9.852448
-0.650549 -0.900898 -9.85155
-0.650549 -0.902692 -9.852448
-0.651446 -0.901496 -9.853345
-0.652044 -0.895514 -9.850952
-0.64995 -0.901795 -9.85155
-0.652044 -0.897608 -9.850653
-0.653241 -0.897907 -9.848558
-0.650848 -0.9 -9.852448
-0.649651 -0.899103 -9.854541
-0.648455 -0.902393 -9.85155
-0.650549 -0.902393 -9.850653
-0.650848 -0.901795 -9.853943
-0.652044 -0.897907 -9.853045
-0.650848 -0.898505 -9.848558
-0.648455 -0.898505 -9.850055
-0.652044 -0.900898 -9.85155
-0.649651 -0.897608 -9.854541
-0.64995 -0.9003 -9.853345
-0.649651 -0.899103 -9.853345
-0.650549 -0.897608 -9.853345
-0.652044 -0.899103 -9.853345
-0.652343 -0.898505 -9.852448
-0.647558 -0.899402 -9.850653
-0.652044 -0.897608 -9.850952
-0.652343 -0.895514 -9.850055
-0.652343 -0.897907 -9.853345
-0.653241 -0.898505 -9.850952
-0.652343 -0.9003 -9.85155
-0.648455 -0.897907 -9.849755
-0.650549 -0.9003 -9.850055
-0.648455 -0.897009 -9.853045
-0.652044 -0.897907 -9.85155
-0.652343 -0.898505 -9.853045
-0.648455 -0.9003 -9.85155
-0.650848 -0.898505 -9.853943
-0.648156 -0.899402 -9.844372
-0.650549 -0.899103 -9.850952
-0.652044 -0.900898 -9.85155
-0.651446 -0.899103 -9.850653
-0.652044 -0.897009 -9.85484
-0.649053 -0.901795 -9.853045
-0.64995 -0.895514 -9.85155
-0.644866 -0.898505 -9.850653
-0.650549 -0.9003 -9.854541
-0.651446 -0.898505 -9.84497
-0.64995 -0.897009 -9.85155
-0.64666 -0.896112 -9.849157
-0.64995 -0.898505 -9.858728
-0.647558 -0.899103 -9.850055
-0.648455 -0.901496 -9.85484
-0.648455 -0.897907 -9.850952
-0.650549 -0.9 -9.853045
-0.648455 -0.897608 -9.853045
-0.64666 -0.899402 -9.852148
-0.645165 -0.897608 -9.855438
-0.651446 -0.897907 -9.852448
-0.649053 -0.897608 -9.856336
-0.650549 -0.895514 -9.843474
-0.650549 -0.897009 -9.862019
-0.647558 -0.902393 -9.845269
-0.652343 -0.898505 -9.850055
-0.64995 -0.9 -9.853943
-0.645165 -0.902393 -9.853943
-0.655633 -0.898505 -9.848558
-0.644866 -0.905085 -9.855738
-0.658624 -0.908674 -9.856336
-0.648455 -0.904188 -9.85155
-0.655633 -0.908974 -9.850653
-0.65683 -0.904786 -9.849755
-0.650848 -0.908076 -9.853045
-0.655633 -0.899103 -9.860224
-0.64666 -0.919442 -9.822836
-0.659223 -0.912862 -9.880263
-0.64666 -0.906581 -9.850055
-0.653241 -0.899402 -9.849157
-0.653241 -0.904188 -9.853943
-0.652941 -0.903291 -9.85484
-0.654437 -0.903291 -9.847662
-0.652044 -0.904188 -9.850055
-0.655334 -0.906581 -9.853345
-0.654437 -0.901496 -9.852148
